times 	 signal 	 freqs 	 dft
106.0000000000	0.8284814678	0.0024537037	39.0048617622
107.0000000000	0.8134814678	0.0024768519	10.5718240108
108.0000000000	0.8064814678	0.0025000000	43.8786001223
109.0000000000	0.8104814678	0.0025231481	11.3080378806
110.0000000000	0.8044814678	0.0025462963	26.0572260817
111.0000000000	0.8034814678	0.0025694444	80.1779942240
112.0000000000	0.8184814678	0.0025925926	69.2521593283
113.0000000000	0.7904814678	0.0026157407	145.0839854864
114.0000000000	0.7744814678	0.0026388889	149.1289700047
115.0000000000	0.7944814678	0.0026620370	183.6023008635
116.0000000000	0.7714814678	0.0026851852	199.8514968788
117.0000000000	0.7564814678	0.0027083333	178.8522489871
118.0000000000	0.7584814678	0.0027314815	160.1594909753
119.0000000000	0.7354814678	0.0027546296	166.2731355209
120.0000000000	0.7294814678	0.0027777778	207.6208864117
121.0000000000	0.7424814678	0.0028009259	75.1075927256
122.0000000000	0.7454814678	0.0028240741	33.8364216565
123.0000000000	0.7334814678	0.0028472222	40.3518294560
124.0000000000	0.7134814678	0.0028703704	33.5127687693
125.0000000000	0.7054814678	0.0028935185	24.7190913703
126.0000000000	0.7144814678	0.0029166667	44.5992523791
127.0000000000	0.6924814678	0.0029398148	33.2363611210
128.0000000000	0.6744814678	0.0029629630	25.1181067526
129.0000000000	0.6684814678	0.0029861111	16.1105253520
130.0000000000	0.6554814678	0.0030092593	14.7985193000
131.0000000000	0.6484814678	0.0030324074	14.9463920744
132.0000000000	0.6484814678	0.0030555556	8.7577139033
133.0000000000	0.6494814678	0.0030787037	19.8651291453
134.0000000000	0.6264814678	0.0031018519	14.3992554532
135.0000000000	0.6084814678	0.0031250000	39.4162934368
136.0000000000	0.6064814678	0.0031481481	9.6641314362
137.0000000000	0.6074814678	0.0031712963	43.4144943910
138.0000000000	0.6084814678	0.0031944444	38.1949739350
139.0000000000	0.5754814678	0.0032175926	16.2603816189
140.0000000000	0.5674814678	0.0032407407	30.0598842333
141.0000000000	0.5694814678	0.0032638889	63.2792604776
142.0000000000	0.5514814678	0.0032870370	78.3585120667
143.0000000000	0.5484814678	0.0033101852	165.4541091465
144.0000000000	0.5484814678	0.0033333333	117.3535556970
145.0000000000	0.5254814678	0.0033564815	176.1166295334
146.0000000000	0.5004814678	0.0033796296	212.1068655329
147.0000000000	0.5124814678	0.0034027778	151.0148307339
148.0000000000	0.4984814678	0.0034259259	138.7251378327
149.0000000000	0.4904814678	0.0034490741	99.3846253828
150.0000000000	0.4934814678	0.0034722222	111.5542667426
151.0000000000	0.4764814678	0.0034953704	37.2160786203
152.0000000000	0.4674814678	0.0035185185	9.1818264926
153.0000000000	0.4614814678	0.0035416667	37.6592787648
154.0000000000	0.4624814678	0.0035648148	36.7067763716
155.0000000000	0.4524814678	0.0035879630	35.7545143457
156.0000000000	0.4374814678	0.0036111111	25.8043205117
157.0000000000	0.4274814678	0.0036342593	10.9841629558
158.0000000000	0.4184814678	0.0036574074	16.4174367705
159.0000000000	0.4164814678	0.0036805556	1.4294654098
160.0000000000	0.4084814678	0.0037037037	24.9997593271
161.0000000000	0.3964814678	0.0037268519	1.9379328410
162.0000000000	0.3894814678	0.0037500000	13.2796567570
163.0000000000	0.3804814678	0.0037731481	8.9777689887
164.0000000000	0.3664814678	0.0037962963	5.8804652711
165.0000000000	0.3464814678	0.0038194444	11.2576413734
166.0000000000	0.3514814678	0.0038425926	35.2645989379
167.0000000000	0.3444814678	0.0038657407	8.6319882272
168.0000000000	0.3154814678	0.0038888889	14.7525330220
169.0000000000	0.3074814678	0.0039120370	6.7259966506
170.0000000000	0.3074814678	0.0039351852	50.9824273232
171.0000000000	0.2894814678	0.0039583333	53.9619242180
172.0000000000	0.2654814678	0.0039814815	115.4204246246
173.0000000000	0.2574814678	0.0040046296	168.7228638563
174.0000000000	0.2604814678	0.0040277778	168.8319875972
175.0000000000	0.2394814678	0.0040509259	181.2451710520
176.0000000000	0.2274814678	0.0040740741	157.2716240285
177.0000000000	0.2244814678	0.0040972222	125.1020919135
178.0000000000	0.2004814678	0.0041203704	90.0517521203
179.0000000000	0.1964814678	0.0041435185	65.8139303316
180.0000000000	0.1954814678	0.0041666667	83.3833680609
181.0000000000	0.1884814678	0.0041898148	29.2737284979
182.0000000000	0.1614814678	0.0042129630	39.5473792119
183.0000000000	0.1564814678	0.0042361111	36.9716478445
184.0000000000	0.1434814678	0.0042592593	34.4475514335
185.0000000000	0.1384814678	0.0042824074	7.9536998094
186.0000000000	0.1344814678	0.0043055556	29.7828114789
187.0000000000	0.1114814678	0.0043287037	11.9285225937
188.0000000000	0.1024814678	0.0043518519	12.7189240943
189.0000000000	0.0814814678	0.0043750000	6.0088140543
190.0000000000	0.0764814678	0.0043981481	20.2097888265
191.0000000000	0.0804814678	0.0044212963	9.8457108000
192.0000000000	0.0574814678	0.0044444444	23.8939054832
193.0000000000	0.0434814678	0.0044675926	8.8342232067
194.0000000000	0.0294814678	0.0044907407	20.0022773339
195.0000000000	0.0264814678	0.0045138889	37.1662769997
196.0000000000	0.0274814678	0.0045370370	34.6365221405
197.0000000000	0.0224814678	0.0045601852	34.3286707571
198.0000000000	0.0054814678	0.0045833333	10.1202442971
199.0000000000	-0.0135185322	0.0046064815	52.2510988295
200.0000000000	-0.0205185322	0.0046296296	66.9644418252
201.0000000000	-0.0205185322	0.0046527778	38.5859683951
202.0000000000	-0.0345185322	0.0046759259	67.1154328886
203.0000000000	-0.0395185322	0.0046990741	117.2990891085
204.0000000000	-0.0635185322	0.0047222222	87.1175786189
205.0000000000	-0.0755185322	0.0047453704	138.3388835446
206.0000000000	-0.0795185322	0.0047685185	59.7634227020
207.0000000000	-0.0815185322	0.0047916667	56.0966441517
208.0000000000	-0.0965185322	0.0048148148	37.1080652848
209.0000000000	-0.0935185322	0.0048379630	73.5273838002
210.0000000000	-0.1105185322	0.0048611111	6.0201696744
211.0000000000	-0.1195185322	0.0048842593	19.1887797302
212.0000000000	-0.1317816901	0.0049074074	5.1830321380
213.0000000000	-0.1440448480	0.0049305556	31.4294088597
214.0000000000	-0.1563080059	0.0049537037	15.2280877955
