-2.478	64955520
-2.475	64955521
-2.482	64955522
-2.25	64955523
-2.484	64955524
-2.481	64955525
-2.482	64955526
-2.473	64955527
-2.47	64955528
-2.25	64955535
-2.467	64955536
-2.467	64955537
-2.465	64955538
-2.468	64955539
-2.463	64955540
-2.25	64955541
-2.451	64955542
-2.464	64955543
-2.473	64955544
-2.46	64955545
-2.463	64955546
-2.25	64955547
-2.489	64955548
-2.479	64955549
-2.474	64955550
-2.464	64955551
-2.475	64955552
-2.25	64955553
-2.474	64955554
-2.461	64955555
-2.471	64955556
-2.462	64955557
-2.459	64955558
-2.25	64955565
-2.472	64955566
-2.47	64955567
-2.468	64955568
-2.468	64955569
-2.469	64955570
-2.25	64955571
-2.466	64955572
-2.478	64955573
-2.471	64955574
-2.472	64955575
-2.47	64955576
-2.25	64955577
-2.467	64955578
-2.462	64955579
-2.464	64955580
-2.468	64955581
-2.462	64955582
-2.25	64955583
-2.477	64955584
-2.476	64955585
-2.475	64955586
-2.477	64955587
-2.474	64955588
-2.25	64955589
-2.479	64955590
-2.482	64955591
-2.482	64955592
-2.485	64955593
-2.481	64955594
-2.25	64955595
-2.49	64955596
-2.488	64955597
-2.492	64955598
-2.49	64955599
-2.496	64955600
-2.25	64955601
-2.487	64955602
-2.491	64955603
-2.489	64955604
-2.488	64955605
-2.495	64955606
-2.5	64955607
-2.503	64955608
-2.504	64955609
-2.509	64955610
-2.51	64955611
-2.513	64955612
-2.5	64955613
-2.507	64955614
-2.512	64955615
-2.516	64955616
-2.514	64955617
-2.52	64955618
-2.5	64955619
-2.529	64955620
-2.527	64955621
-2.529	64955622
-2.532	64955623
-2.532	64955624
-2.5	64955625
-2.535	64955626
-2.534	64955627
-2.533	64955628
-2.541	64955629
-2.544	64955630
-2.5	64955631
-2.53	64955632
-2.535	64955633
-2.533	64955634
-2.539	64955635
-2.543	64955636
-2.5	64955637
-2.545	64955638
-2.552	64955639
-2.56	64955640
-2.558	64955641
-2.553	64955642
-2.5	64955643
-2.556	64955644
-2.561	64955645
-2.564	64955646
-2.564	64955647
-2.565	64955648
-2.5	64955649
-2.578	64955650
-2.581	64955651
-2.584	64955652
-2.583	64955653
-2.579	64955654
-2.5	64955655
-2.579	64955656
-2.582	64955657
-2.58	64955658
-2.577	64955659
-2.581	64955660
-2.5	64955679
-2.612	64955680
-2.615	64955681
-2.622	64955682
-2.628	64955683
-2.625	64955684
-2.5	64955685
-2.633	64955686
-2.636	64955687
-2.631	64955688
-2.632	64955689
-2.626	64955690
-2.5	64955691
-2.625	64955692
-2.632	64955693
-2.632	64955694
-2.641	64955695
-2.648	64955696
-2.5	64955697
-2.66	64955698
-2.66	64955699
-2.659	64955700
-2.657	64955701
-2.662	64955702
-2.5	64955703
-2.662	64955704
-2.666	64955705
-2.662	64955706
-2.669	64955707
-2.668	64955708
-2.5	64955709
-2.67	64955710
-2.672	64955711
-2.675	64955712
-2.677	64955713
-2.681	64955714
-2.5	64955715
-2.682	64955716
-2.69	64955717
-2.687	64955718
-2.694	64955719
-2.699	64955720
-2.5	64955727
-2.695	64955728
-2.696	64955729
-2.698	64955730
-2.698	64955731
-2.706	64955732
-2.5	64955733
-2.711	64955734
-2.713	64955735
-2.716	64955736
-2.713	64955737
-2.714	64955738
-2.5	64955739
-2.717	64955740
-2.721	64955741
-2.719	64955742
-2.721	64955743
-2.721	64955744
-2.5	64955745
-2.717	64955746
-2.724	64955747
-2.723	64955748
-2.721	64955749
-2.731	64955750
-2.5	64955751
-2.74	64955752
-2.742	64955753
-2.753	64955754
-2.758	64955755
-2.761	64955756
-2.75	64955757
-2.77	64955758
-2.77	64955759
-2.769	64955760
-2.769	64955761
-2.772	64955762
-2.75	64955763
-2.778	64955764
-2.777	64955765
