times 	 signal 	 freqs 	 dft
67.0000000000	0.1299408142	0.0015509259	15.2679651705
68.0000000000	0.1349408142	0.0015740741	19.3366029266
69.0000000000	0.1329408142	0.0015972222	34.9167673553
70.0000000000	0.1319408142	0.0016203704	24.0814304004
71.0000000000	0.1429408142	0.0016435185	9.9906046172
72.0000000000	0.1489408142	0.0016666667	12.7140445161
73.0000000000	0.1509408142	0.0016898148	32.5600679934
74.0000000000	0.1439408142	0.0017129630	6.3140361993
75.0000000000	0.1489408142	0.0017361111	10.5318100983
76.0000000000	0.1469408142	0.0017592593	14.2181815049
77.0000000000	0.1629408142	0.0017824074	4.8082709741
78.0000000000	0.1649408142	0.0018055556	19.7908231866
79.0000000000	0.1719408142	0.0018287037	27.4103534384
80.0000000000	0.1729408142	0.0018518519	21.5066921459
81.0000000000	0.1929408142	0.0018750000	8.6663161573
82.0000000000	0.1889408142	0.0018981481	8.6227225153
83.0000000000	0.1809408142	0.0019212963	14.4041925608
84.0000000000	0.1899408142	0.0019444444	3.4665530172
85.0000000000	0.1799408142	0.0019675926	26.2963626067
86.0000000000	0.1729408142	0.0019907407	11.8000430964
87.0000000000	0.1829408142	0.0020138889	15.8358122531
88.0000000000	0.1859408142	0.0020370370	12.3071572566
89.0000000000	0.1979408142	0.0020601852	18.4726382803
90.0000000000	0.1929408142	0.0020833333	100.0618359421
91.0000000000	0.1799408142	0.0021064815	1.7792433255
92.0000000000	0.1829408142	0.0021296296	9.3692079984
93.0000000000	0.1859408142	0.0021527778	10.7444722514
94.0000000000	0.1979408142	0.0021759259	12.7008307762
95.0000000000	0.2039408142	0.0021990741	11.7987160923
96.0000000000	0.2099408142	0.0022222222	8.7395302235
97.0000000000	0.2069408142	0.0022453704	19.5922611319
98.0000000000	0.2069408142	0.0022685185	8.3578899258
99.0000000000	0.2079408142	0.0022916667	7.5056378536
100.0000000000	0.2119408142	0.0023148148	41.2273982308
101.0000000000	0.2199408142	0.0023379630	16.2578205225
102.0000000000	0.2299408142	0.0023611111	6.1767042586
103.0000000000	0.2379408142	0.0023842593	14.6654603908
104.0000000000	0.2169408142	0.0024074074	6.0122302945
105.0000000000	0.2209408142	0.0024305556	18.6177059152
106.0000000000	0.2279408142	0.0024537037	6.8237509428
107.0000000000	0.2399408142	0.0024768519	4.6922027235
108.0000000000	0.2319408142	0.0025000000	20.1958236497
109.0000000000	0.2289408142	0.0025231481	14.1155092815
110.0000000000	0.2419408142	0.0025462963	18.9643977137
111.0000000000	0.2439408142	0.0025694444	17.0896318577
112.0000000000	0.2489408142	0.0025925926	36.6256272855
113.0000000000	0.2549408142	0.0026157407	11.6989209375
114.0000000000	0.2679408142	0.0026388889	16.3394343908
115.0000000000	0.2729408142	0.0026620370	17.7206592908
116.0000000000	0.2669408142	0.0026851852	34.0446860864
117.0000000000	0.2759408142	0.0027083333	18.4282796923
118.0000000000	0.2809408142	0.0027314815	16.2404358158
119.0000000000	0.2899408142	0.0027546296	26.6074535171
120.0000000000	0.2739408142	0.0027777778	72.5604157624
121.0000000000	0.2659408142	0.0028009259	8.7478179750
122.0000000000	0.2519408142	0.0028240741	12.1185330998
123.0000000000	0.2689408142	0.0028472222	5.7538406849
124.0000000000	0.2719408142	0.0028703704	4.1788001955
125.0000000000	0.2759408142	0.0028935185	10.2040186143
126.0000000000	0.2819408142	0.0029166667	19.5771259023
127.0000000000	0.2819408142	0.0029398148	20.3788520722
128.0000000000	0.2869408142	0.0029629630	7.5788770471
129.0000000000	0.2839408142	0.0029861111	16.1582424283
130.0000000000	0.3069408142	0.0030092593	2.0049697211
131.0000000000	0.3109408142	0.0030324074	18.6781773352
132.0000000000	0.3089408142	0.0030555556	39.9580845591
133.0000000000	0.3069408142	0.0030787037	9.7503915455
134.0000000000	0.3059408142	0.0031018519	26.6755777899
135.0000000000	0.3149408142	0.0031250000	50.5415414260
136.0000000000	0.3129408142	0.0031481481	5.2582867440
137.0000000000	0.3159408142	0.0031712963	23.6822375897
138.0000000000	0.3059408142	0.0031944444	6.5452402516
139.0000000000	0.3099408142	0.0032175926	25.2900754519
140.0000000000	0.3129408142	0.0032407407	40.8220974614
141.0000000000	0.3149408142	0.0032638889	26.4933423994
142.0000000000	0.3199408142	0.0032870370	12.5864668388
143.0000000000	0.3309408142	0.0033101852	14.8288780396
144.0000000000	0.3359408142	0.0033333333	22.0067537244
145.0000000000	0.3409408142	0.0033564815	6.9850420618
146.0000000000	0.3419408142	0.0033796296	22.9571431207
147.0000000000	0.3549408142	0.0034027778	6.8508887867
148.0000000000	0.3539408142	0.0034259259	19.2293487043
