times 	 signal 	 freqs 	 dft
44.0000000000	-2.5190907489	0.0010185185	231.7111957530
45.0000000000	-2.5460907489	0.0010416667	191.5094973633
46.0000000000	-2.5720907489	0.0010648148	177.5608351294
47.0000000000	-2.6000907489	0.0010879630	168.7547386373
48.0000000000	-2.6270907489	0.0011111111	78.0748559273
49.0000000000	-2.6510907489	0.0011342593	287.0494872219
50.0000000000	-2.6750907489	0.0011574074	165.6669942419
51.0000000000	-2.7000907489	0.0011805556	337.2093443527
52.0000000000	-2.7240907489	0.0012037037	380.7698202788
53.0000000000	-2.7480907489	0.0012268519	359.7303574835
54.0000000000	-2.7760907489	0.0012500000	226.2656373479
55.0000000000	-2.8010907489	0.0012731481	1020.5472031199
56.0000000000	-2.8280907489	0.0012962963	1420.2917365859
57.0000000000	-2.8560907489	0.0013194444	15216.8008458081
58.0000000000	-2.8790907489	0.0013425926	74457.1995895225
59.0000000000	-2.9030907489	0.0013657407	2245.5195367709
60.0000000000	-2.9260907489	0.0013888889	22634.9131238686
61.0000000000	-2.9460907489	0.0014120370	3798.4165801693
62.0000000000	-2.9650907489	0.0014351852	2296.9760235777
63.0000000000	-2.9860907489	0.0014583333	966.0420087501
64.0000000000	-3.0070907489	0.0014814815	659.0073644217
65.0000000000	-3.0270907489	0.0015046296	515.1984556222
66.0000000000	-3.0460907489	0.0015277778	461.6620736113
67.0000000000	-3.0640907489	0.0015509259	189.9981648812
68.0000000000	-3.0820907489	0.0015740741	247.0694362592
69.0000000000	-3.0990907489	0.0015972222	297.3234223222
70.0000000000	-3.1140907489	0.0016203704	148.3807745664
71.0000000000	-3.1300907489	0.0016435185	287.3291293301
72.0000000000	-3.1460907489	0.0016666667	450.6214537743
73.0000000000	-3.1620907489	0.0016898148	155.7820007652
74.0000000000	-3.1810907489	0.0017129630	404.5326638084
75.0000000000	-3.1990907489	0.0017361111	242.7942744812
76.0000000000	-3.2150907489	0.0017592593	75.0151778827
77.0000000000	-3.2340907489	0.0017824074	313.9623675095
78.0000000000	-3.2500907489	0.0018055556	195.9558592046
79.0000000000	-3.2660907489	0.0018287037	59.0932993029
80.0000000000	-3.2820907489	0.0018518519	198.4583594365
81.0000000000	-3.3010907489	0.0018750000	208.5428809190
82.0000000000	-3.3210907489	0.0018981481	167.1263378209
83.0000000000	-3.3380907489	0.0019212963	230.5191296078
84.0000000000	-3.3570907489	0.0019444444	308.8081980178
85.0000000000	-3.3730907489	0.0019675926	67.6681377288
86.0000000000	-3.3910907489	0.0019907407	252.0986787761
87.0000000000	-3.4050907489	0.0020138889	770.5099136394
88.0000000000	-3.4210907489	0.0020370370	733.4724840710
89.0000000000	-3.4380907489	0.0020601852	19.6271461979
90.0000000000	-3.4560907489	0.0020833333	674.2177210031
91.0000000000	-3.4730907489	0.0021064815	181.3615426722
92.0000000000	-3.4920907489	0.0021296296	142.2963084630
93.0000000000	-3.5120907489	0.0021527778	149.4537208105
94.0000000000	-3.5320907489	0.0021759259	184.0981993213
95.0000000000	-3.5470907489	0.0021990741	38.9359778784
96.0000000000	-3.5620907489	0.0022222222	92.3937179694
97.0000000000	-3.5770907489	0.0022453704	183.4533469935
98.0000000000	-3.5900907489	0.0022685185	77.2181253174
99.0000000000	-3.6040907489	0.0022916667	106.4500893390
100.0000000000	-3.6190907489	0.0023148148	177.3796208070
101.0000000000	-3.6310907489	0.0023379630	223.2560526031
102.0000000000	-3.6480907489	0.0023611111	81.2720890785
103.0000000000	-3.6620907489	0.0023842593	163.0391940658
104.0000000000	-3.6740907489	0.0024074074	243.0328828167
105.0000000000	-3.6860907489	0.0024305556	27.7573068356
106.0000000000	-3.7010907489	0.0024537037	114.2606320961
107.0000000000	-3.7120907489	0.0024768519	176.3874932107
108.0000000000	-3.7230907489	0.0025000000	198.3647478796
109.0000000000	-3.7340907489	0.0025231481	203.1846458871
110.0000000000	-3.7460907489	0.0025462963	120.2970427782
111.0000000000	-3.7590907489	0.0025694444	211.2245976544
112.0000000000	-3.7710907489	0.0025925926	147.8154510215
113.0000000000	-3.7820907489	0.0026157407	243.9713106222
114.0000000000	-3.7930907489	0.0026388889	591.6513893426
115.0000000000	-3.8060907489	0.0026620370	2242.1822955848
116.0000000000	-3.8190907489	0.0026851852	5016.3139368919
117.0000000000	-3.8270907489	0.0027083333	471.4098810864
118.0000000000	-3.8370907489	0.0027314815	2932.1215093487
119.0000000000	-3.8480907489	0.0027546296	697.4658510870
120.0000000000	-3.8590907489	0.0027777778	435.9791512092
121.0000000000	-3.8680907489	0.0028009259	220.3392190664
122.0000000000	-3.8780907489	0.0028240741	244.4298019653
123.0000000000	-3.8890907489	0.0028472222	97.5849119485
124.0000000000	-3.8980907489	0.0028703704	41.2743861523
125.0000000000	-3.9090907489	0.0028935185	88.1919192547
126.0000000000	-3.9180907489	0.0029166667	97.6739146876
127.0000000000	-3.9270907489	0.0029398148	33.1731290590
128.0000000000	-3.9390907489	0.0029629630	132.0533472771
129.0000000000	-3.9510907489	0.0029861111	114.4294790750
130.0000000000	-3.9600907489	0.0030092593	78.8785656150
131.0000000000	-3.9670907489	0.0030324074	34.4182014223
132.0000000000	-3.9750907489	0.0030555556	85.7129023704
133.0000000000	-3.9820907489	0.0030787037	61.8610215077
134.0000000000	-3.9840907489	0.0031018519	78.2638725413
135.0000000000	-3.9830907489	0.0031250000	45.8484554099
136.0000000000	-3.9850907489	0.0031481481	39.8044442776
137.0000000000	-3.9880907489	0.0031712963	106.1623779368
138.0000000000	-3.9890907489	0.0031944444	55.8274763065
139.0000000000	-3.9920907489	0.0032175926	44.9739018866
140.0000000000	-3.9980907489	0.0032407407	69.3196708173
141.0000000000	-4.0080907489	0.0032638889	55.4409445518
