times 	 signal 	 freqs 	 dft
46.0000000000	0.1495106659	0.0010648148	23.2911741331
47.0000000000	0.1515106659	0.0010879630	17.3175693386
48.0000000000	0.1335106659	0.0011111111	17.3325703419
49.0000000000	0.1105106659	0.0011342593	28.8374675584
50.0000000000	0.0965106659	0.0011574074	15.1451141865
51.0000000000	0.0855106659	0.0011805556	32.3840186532
52.0000000000	0.0935106659	0.0012037037	41.3148649959
53.0000000000	0.1045106659	0.0012268519	47.0786429076
54.0000000000	0.1115106659	0.0012500000	28.8796286364
55.0000000000	0.1175106659	0.0012731481	36.4238319283
56.0000000000	0.1205106659	0.0012962963	33.0034174505
57.0000000000	0.1305106659	0.0013194444	194.9898226739
58.0000000000	0.1305106659	0.0013425926	1601.0782623663
59.0000000000	0.1205106659	0.0013657407	147.6627262986
60.0000000000	0.1065106659	0.0013888889	831.5859425200
61.0000000000	0.0955106659	0.0014120370	66.6589938525
62.0000000000	0.0865106659	0.0014351852	94.2389525465
63.0000000000	0.0805106659	0.0014583333	48.2979385387
64.0000000000	0.0735106659	0.0014814815	21.4709287123
65.0000000000	0.0655106659	0.0015046296	28.6768681892
66.0000000000	0.0655106659	0.0015277778	21.4573727906
67.0000000000	0.0855106659	0.0015509259	30.0967895375
68.0000000000	0.1205106659	0.0015740741	29.0531750451
69.0000000000	0.1445106659	0.0015972222	11.3131011846
70.0000000000	0.1485106659	0.0016203704	6.3278874513
71.0000000000	0.1325106659	0.0016435185	19.0062232619
72.0000000000	0.1185106659	0.0016666667	29.8085945710
73.0000000000	0.1055106659	0.0016898148	33.4341342234
74.0000000000	0.1005106659	0.0017129630	2.8078437757
75.0000000000	0.1075106659	0.0017361111	14.1433762756
76.0000000000	0.1205106659	0.0017592593	15.4981226523
77.0000000000	0.1355106659	0.0017824074	14.2891243239
78.0000000000	0.1565106659	0.0018055556	17.7112246581
79.0000000000	0.1675106659	0.0018287037	13.4754363382
80.0000000000	0.1495106659	0.0018518519	6.7050550359
81.0000000000	0.1055106659	0.0018750000	4.9909391250
82.0000000000	0.0735106659	0.0018981481	15.1238256963
83.0000000000	0.0485106659	0.0019212963	8.1040937429
84.0000000000	0.0455106659	0.0019444444	22.8841106715
85.0000000000	0.0565106659	0.0019675926	9.8601689496
86.0000000000	0.0735106659	0.0019907407	14.3182863663
87.0000000000	0.0865106659	0.0020138889	16.2328326251
88.0000000000	0.1065106659	0.0020370370	14.5630722565
89.0000000000	0.1135106659	0.0020601852	7.2977648285
90.0000000000	0.1105106659	0.0020833333	12.7399520184
91.0000000000	0.0955106659	0.0021064815	2.6183974636
92.0000000000	0.0855106659	0.0021296296	20.1706083881
93.0000000000	0.0975106659	0.0021527778	12.7618188704
94.0000000000	0.1175106659	0.0021759259	7.9534384224
95.0000000000	0.1435106659	0.0021990741	20.3792824755
96.0000000000	0.1495106659	0.0022222222	7.3530554059
97.0000000000	0.1425106659	0.0022453704	17.7436756764
98.0000000000	0.1225106659	0.0022685185	18.2176371705
99.0000000000	0.1065106659	0.0022916667	29.6085677116
100.0000000000	0.0895106659	0.0023148148	39.2964480148
101.0000000000	0.0735106659	0.0023379630	20.3280441433
102.0000000000	0.0605106659	0.0023611111	16.7614485455
103.0000000000	0.0695106659	0.0023842593	29.7460938062
104.0000000000	0.0895106659	0.0024074074	11.9259796660
105.0000000000	0.1185106659	0.0024305556	23.9084423759
106.0000000000	0.1345106659	0.0024537037	22.2809218173
107.0000000000	0.1265106659	0.0024768519	10.6434492587
108.0000000000	0.1065106659	0.0025000000	21.8062938844
109.0000000000	0.0935106659	0.0025231481	6.8187200397
110.0000000000	0.0775106659	0.0025462963	12.6636177553
111.0000000000	0.0655106659	0.0025694444	17.9866775531
112.0000000000	0.0545106659	0.0025925926	16.1285790377
113.0000000000	0.0455106659	0.0026157407	11.5169253079
114.0000000000	0.0495106659	0.0026388889	21.2202871573
115.0000000000	0.0695106659	0.0026620370	21.1245609686
116.0000000000	0.0875106659	0.0026851852	65.8989973945
117.0000000000	0.0985106659	0.0027083333	22.5924311634
118.0000000000	0.0965106659	0.0027314815	32.1026464943
119.0000000000	0.0795106659	0.0027546296	6.8026148734
120.0000000000	0.0595106659	0.0027777778	9.9109115570
121.0000000000	0.0415106659	0.0028009259	4.2067023970
122.0000000000	0.0195106659	0.0028240741	6.4228248819
123.0000000000	-0.0004893341	0.0028472222	6.0968605464
124.0000000000	-0.0044893341	0.0028703704	21.1715102900
125.0000000000	0.0165106659	0.0028935185	12.6605159728
126.0000000000	0.0565106659	0.0029166667	2.4549101483
127.0000000000	0.0975106659	0.0029398148	8.2088443535
128.0000000000	0.1365106659	0.0029629630	13.2542841787
129.0000000000	0.1385106659	0.0029861111	8.3760947919
130.0000000000	0.1045106659	0.0030092593	9.3097265549
131.0000000000	0.0605106659	0.0030324074	31.0696904503
132.0000000000	0.0085106659	0.0030555556	28.1816332002
133.0000000000	-0.0364893341	0.0030787037	9.4348330485
134.0000000000	-0.0364893341	0.0031018519	13.7843933221
135.0000000000	0.0055106659	0.0031250000	16.9734913291
136.0000000000	0.0635106659	0.0031481481	4.9927273280
137.0000000000	0.1345106659	0.0031712963	16.9833758313
138.0000000000	0.1595106659	0.0031944444	12.8604177908
139.0000000000	0.1475106659	0.0032175926	6.7176515008
140.0000000000	0.0985106659	0.0032407407	13.4044624478
141.0000000000	0.0535106659	0.0032638889	12.1537774475
142.0000000000	0.0135106659	0.0032870370	2.1316283275
143.0000000000	0.0005106659	0.0033101852	7.3582416534
144.0000000000	0.0095106659	0.0033333333	11.4193874864
145.0000000000	0.0425106659	0.0033564815	4.2560680770
146.0000000000	0.0795106659	0.0033796296	11.2720741097
147.0000000000	0.1165106659	0.0034027778	11.2218436610
148.0000000000	0.1255106659	0.0034259259	8.5400271698
149.0000000000	0.1155106659	0.0034490741	2.5998541371
150.0000000000	0.0935106659	0.0034722222	5.4952293112
151.0000000000	0.0635106659	0.0034953704	9.0912681095
152.0000000000	0.0305106659	0.0035185185	5.5878866190
153.0000000000	0.0065106659	0.0035416667	1.4895638637
154.0000000000	-0.0024893341	0.0035648148	1.1835114797
155.0000000000	0.0185106659	0.0035879630	6.5953133077
156.0000000000	0.0565106659	0.0036111111	6.7135123998
157.0000000000	0.1045106659	0.0036342593	9.8798517699
158.0000000000	0.1245106659	0.0036574074	5.1843009022
159.0000000000	0.1085106659	0.0036805556	5.4899520671
160.0000000000	0.0565106659	0.0037037037	4.4280988521
161.0000000000	0.0085106659	0.0037268519	6.1656765862
162.0000000000	-0.0304893341	0.0037500000	10.2872101478
163.0000000000	-0.0264893341	0.0037731481	6.2113916568
164.0000000000	0.0025106659	0.0037962963	2.2805434537
165.0000000000	0.0575106659	0.0038194444	4.4075865905
166.0000000000	0.1055106659	0.0038425926	1.6155548460
167.0000000000	0.1195106659	0.0038657407	1.8651034588
168.0000000000	0.0875106659	0.0038888889	7.2705319837
169.0000000000	0.0335106659	0.0039120370	2.0074099583
170.0000000000	-0.0374893341	0.0039351852	0.7067956411
171.0000000000	-0.0624893341	0.0039583333	6.5690474360
172.0000000000	-0.0454893341	0.0039814815	7.9117967188
173.0000000000	-0.0034893341	0.0040046296	3.4043404899
174.0000000000	0.0515106659	0.0040277778	2.2145692864
175.0000000000	0.1015106659	0.0040509259	3.2508478118
176.0000000000	0.1155106659	0.0040740741	7.1578551216
177.0000000000	0.0955106659	0.0040972222	3.7945598812
178.0000000000	0.0495106659	0.0041203704	6.6133599109
179.0000000000	-0.0114893341	0.0041435185	0.9869736785
180.0000000000	-0.0504893341	0.0041666667	3.3358853706
181.0000000000	-0.0554893341	0.0041898148	3.9366032172
182.0000000000	-0.0184893341	0.0042129630	4.5282371870
183.0000000000	0.0325106659	0.0042361111	4.2711903939
184.0000000000	0.0995106659	0.0042592593	1.5742922183
185.0000000000	0.1365106659	0.0042824074	8.0415147689
186.0000000000	0.1245106659	0.0043055556	3.9425624817
