times 	 signal 	 freqs 	 dft
63.0000000000	0.1262253273	0.0014583333	38.4360558624
64.0000000000	0.1312253273	0.0014814815	28.5866589092
65.0000000000	0.1282253273	0.0015046296	21.5785555510
66.0000000000	0.1182253273	0.0015277778	23.8713165083
67.0000000000	0.1082253273	0.0015509259	44.8261153330
68.0000000000	0.1042253273	0.0015740741	56.1440439599
69.0000000000	0.1042253273	0.0015972222	38.1345068724
70.0000000000	0.1052253273	0.0016203704	16.8591986275
71.0000000000	0.1162253273	0.0016435185	6.7880374752
72.0000000000	0.1282253273	0.0016666667	17.8489808610
73.0000000000	0.1462253273	0.0016898148	49.2625075897
74.0000000000	0.1572253273	0.0017129630	35.3653904147
75.0000000000	0.1602253273	0.0017361111	36.1813719731
76.0000000000	0.1552253273	0.0017592593	17.3070807610
77.0000000000	0.1452253273	0.0017824074	30.6631863178
78.0000000000	0.1312253273	0.0018055556	20.4998577018
79.0000000000	0.1182253273	0.0018287037	8.6678871965
80.0000000000	0.1112253273	0.0018518519	21.7248303624
81.0000000000	0.1082253273	0.0018750000	23.3628923198
82.0000000000	0.1102253273	0.0018981481	11.6945338217
83.0000000000	0.1162253273	0.0019212963	7.6485509668
84.0000000000	0.1272253273	0.0019444444	18.3970166589
85.0000000000	0.1352253273	0.0019675926	7.9646418624
86.0000000000	0.1392253273	0.0019907407	22.8491288997
87.0000000000	0.1362253273	0.0020138889	21.7473564713
88.0000000000	0.1292253273	0.0020370370	9.9574455657
89.0000000000	0.1192253273	0.0020601852	12.1660449527
90.0000000000	0.1122253273	0.0020833333	30.7493366808
91.0000000000	0.1102253273	0.0021064815	15.7215780823
92.0000000000	0.1162253273	0.0021296296	14.0016570649
93.0000000000	0.1262253273	0.0021527778	15.8076552421
94.0000000000	0.1372253273	0.0021759259	25.3470734194
95.0000000000	0.1502253273	0.0021990741	20.7388091789
96.0000000000	0.1542253273	0.0022222222	5.6583895330
97.0000000000	0.1522253273	0.0022453704	15.0621576587
98.0000000000	0.1502253273	0.0022685185	4.1450724218
99.0000000000	0.1482253273	0.0022916667	11.9558010555
100.0000000000	0.1402253273	0.0023148148	16.0513316201
101.0000000000	0.1302253273	0.0023379630	14.2222001688
102.0000000000	0.1262253273	0.0023611111	14.0025969334
103.0000000000	0.1182253273	0.0023842593	13.8134718457
104.0000000000	0.1182253273	0.0024074074	22.2752294167
105.0000000000	0.1192253273	0.0024305556	20.1521932813
106.0000000000	0.1242253273	0.0024537037	16.3491240270
107.0000000000	0.1262253273	0.0024768519	18.8213867563
108.0000000000	0.1382253273	0.0025000000	3.0727360213
109.0000000000	0.1492253273	0.0025231481	15.7465460553
110.0000000000	0.1552253273	0.0025462963	38.3409888846
111.0000000000	0.1502253273	0.0025694444	24.5825532718
112.0000000000	0.1412253273	0.0025925926	15.7884481273
113.0000000000	0.1262253273	0.0026157407	5.0310680569
114.0000000000	0.1152253273	0.0026388889	10.7826338390
115.0000000000	0.1182253273	0.0026620370	27.9099029408
116.0000000000	0.1282253273	0.0026851852	64.0224907882
117.0000000000	0.1422253273	0.0027083333	23.4126633851
118.0000000000	0.1512253273	0.0027314815	49.7643003637
119.0000000000	0.1612253273	0.0027546296	7.7841704699
120.0000000000	0.1652253273	0.0027777778	31.7735745520
121.0000000000	0.1612253273	0.0028009259	6.2548826020
122.0000000000	0.1492253273	0.0028240741	14.9261293511
123.0000000000	0.1372253273	0.0028472222	9.6981984381
124.0000000000	0.1302253273	0.0028703704	17.6396450563
125.0000000000	0.1302253273	0.0028935185	11.1186977909
126.0000000000	0.1372253273	0.0029166667	17.3146948759
127.0000000000	0.1462253273	0.0029398148	23.5723364199
128.0000000000	0.1522253273	0.0029629630	29.8142631672
129.0000000000	0.1522253273	0.0029861111	17.2925390135
130.0000000000	0.1462253273	0.0030092593	25.9758289703
131.0000000000	0.1412253273	0.0030324074	7.3078152756
132.0000000000	0.1372253273	0.0030555556	9.2260557431
133.0000000000	0.1382253273	0.0030787037	2.9189746718
134.0000000000	0.1402253273	0.0031018519	13.5059102477
135.0000000000	0.1432253273	0.0031250000	21.9416340538
136.0000000000	0.1422253273	0.0031481481	14.2950434172
137.0000000000	0.1352253273	0.0031712963	11.1023470476
138.0000000000	0.1332253273	0.0031944444	21.9953082186
139.0000000000	0.1382253273	0.0032175926	1.8903010875
140.0000000000	0.1472253273	0.0032407407	9.3184610278
141.0000000000	0.1512253273	0.0032638889	11.8812441734
142.0000000000	0.1542253273	0.0032870370	3.9325513444
143.0000000000	0.1522253273	0.0033101852	3.0168755077
144.0000000000	0.1412253273	0.0033333333	7.7490174527
145.0000000000	0.1292253273	0.0033564815	11.6251539537
146.0000000000	0.1212253273	0.0033796296	6.6819600272
147.0000000000	0.1102253273	0.0034027778	7.1739231582
148.0000000000	0.1102253273	0.0034259259	6.6107990542
149.0000000000	0.1252253273	0.0034490741	5.6704362886
150.0000000000	0.1472253273	0.0034722222	7.6640585302
151.0000000000	0.1632253273	0.0034953704	6.0879459456
152.0000000000	0.1772253273	0.0035185185	4.5923149967
153.0000000000	0.1772253273	0.0035416667	7.0334386267
154.0000000000	0.1642253273	0.0035648148	3.4594623638
155.0000000000	0.1432253273	0.0035879630	6.5331058957
156.0000000000	0.1172253273	0.0036111111	8.0557546009
157.0000000000	0.1062253273	0.0036342593	5.5678595513
158.0000000000	0.1002253273	0.0036574074	3.9624775765
159.0000000000	0.1142253273	0.0036805556	2.4443963858
160.0000000000	0.1402253273	0.0037037037	6.4087626386
161.0000000000	0.1672253273	0.0037268519	3.0673491779
162.0000000000	0.1892253273	0.0037500000	5.0992881128
163.0000000000	0.1882253273	0.0037731481	6.7847222663
164.0000000000	0.1682253273	0.0037962963	7.2737695104
165.0000000000	0.1432253273	0.0038194444	8.4570910235
